,AAPL__hl,AAPL__co,AAPL__ocp,AAPL__log_returns,AAPL__lret_squared,AAPL__earning_horizon1,AAPL__earning_horizon2,AAPL__earning_horizon3,AAPL__earning_horizon4,MSFT__hl,MSFT__co,MSFT__ocp,MSFT__log_returns,MSFT__lret_squared,MSFT__earning_horizon1,MSFT__earning_horizon2,MSFT__earning_horizon3,MSFT__earning_horizon4,AAPL,MSFT
2015-10-08,0.0179411895841235,-0.0116789648641469,0.0001814388102597,-0.0114975260538874,0.0001321931053598,0,0,0,0,0.0119710707059059,0.0086608400232959,0.0015045677206894,0.0101654077439858,0.0001033355146014,0,0,0,0,0.1651911681271637,0.1064195951839778
2015-10-09,0.022487956051625,0.0187507240672034,0.0082314469948079,0.0269821710620115,0.0007280375552196,0,0,0,0,0.0113378697971805,0.001697793277094,0.0024456389455969,0.0041434322226909,1.7168030584033907e-05,0,0,0,0,0.2157962305871232,0.1319985149148095
2015-10-12,0.009565545429695,-0.001009528064404,0.0004465681313889,-0.0005629599330152,3.1692388618053493e-07,0,0,0,0,0.0100503358535004,-0.0010655302020379,-0.0044628700148976,-0.0055284002169355,3.056320895861325e-05,0,0,0,0,0.1071447695535934,0.1327997732436234
2015-10-13,0.0149704588770315,0.003851696792989,-0.0038248819894286,2.6814803560704092e-05,7.190336899991489e-10,0,0,0,0,0.011743489288767,0.0081249110636465,-0.0068464109960397,0.0012785000676065,1.634562422869946e-06,0,0,0,0,0.1745879395582127,0.1508723186376262
2015-10-14,0.0170044118090261,-0.0079811983466103,-0.0066362004819839,-0.0146173988285944,0.0002136683485141,0,0,0,0,0.0118534144539181,0.0018184740530243,-0.0055520108449892,-0.0037335367919646,1.3939296976953632e-05,0,0,0,0,0.2032974781027063,0.1585855588003475
2015-10-15,0.014287882903668,0.0077298813351242,0.0052782504896135,0.0130081318247379,0.0001692114935697,0,0,0,0,0.0109010377338141,-0.0036266706417161,0.0037335367919648,0.0001068661502485,1.142037406895092e-08,0,0,0,0,0.1640922220349231,0.131168763218281
2015-10-16,0.0130327640837163,-0.0114061140493719,0.0025026825908447,-0.0089034314585272,7.927109173669237e-05,0,0,0,0,0.0098258033233968,0.0050923089037128,0.0046908401579137,0.0097831490616266,9.571000556200728e-05,0,0,0,0,0.1015636210666898,0.1232294929926344
2015-10-19,0.0127190285970887,0.0036935315175665,0.0008126044418084,0.0045061359593749,2.030526128437237e-05,0,0,0,0,0.0181248375778492,0.0030085624432304,0.0024789988158474,0.0054875612590779,3.0113328572132628e-05,0,0,0,1,0.1386429705226778,0.2050847450881367
2015-10-20,0.0291679934288269,0.0253099243600981,-0.0019801986668625,0.0233297256932356,0.0005442761009216,0,0,0,0,0.0161378880147122,0.0051435582878717,0.0,0.0051435582878713,2.6456191860730423e-05,0,0,1,0,0.2140705049650019,0.1738935045880316
2015-10-21,0.0161416754690937,0.0070052825884079,-0.0003075098317548,0.0066977727566528,4.4860159899761015e-05,0,0,0,0,0.012374182450436,-0.0053502721422582,0.0003140539151689,-0.0050362182270888,2.5363494030862305e-05,0,1,0,0,0.1675602262161638,0.1285746847199578
2015-10-22,0.0091580419603906,0.0037087984568167,-0.0019215657934689,0.0017872326633479,3.194200592937643e-06,0,0,0,1,0.0368586644320693,0.0261805935724752,-0.0003178442190163,0.0258627493534588,0.0006688818041198,1,0,0,0,0.1007921629295962,0.3232349078261247
2015-10-23,0.032040663015607,0.0316193184155149,0.0032602256099474,0.0348795440254625,0.0012165825914241,0,0,1,0,0.0903764951399426,0.0873858387052951,0.003889064363449,0.091274903068744,0.0083311079302086,0,0,0,0,0.1862947978033764,0.5381496794446374
2015-10-26,0.0267709793134362,-0.0245421619267803,-0.0076842261156978,-0.0322263880424782,0.0010385400862643,0,1,0,0,0.0248710675188083,0.015602248272245,-0.0118653231462467,0.0037369251259979,1.3964609397315108e-05,0,0,0,0,0.2157520604936684,0.2995344220617156
2015-10-27,0.0140194266222177,-0.0019646831658029,0.0029493428735329,0.0009846597077305,9.695547400279918e-07,1,0,0,0,0.0135318406845499,-0.0042786755140109,0.0059557466235659,0.001677071109555,2.8125675065042455e-06,0,0,0,0,0.1630364482856296,0.173863447290899
2015-10-28,0.0172550620896995,0.0099051379308659,0.0101708509851499,0.0200759889160155,0.0004030453309559,0,0,0,0,0.0160275248715311,-0.0082375596689733,-0.0018673167321475,-0.0101048764011206,0.0001021085270819,0,0,0,0,0.2324489692206587,0.163217982663175
2015-10-29,0.0186295632001825,0.0185422862707088,0.0044143661845553,0.0229566524552642,0.0005270078919517,0,0,0,0,0.0102814252720442,-0.0019855489242107,0.0078681559905113,0.0058826070663009,3.460506589649385e-05,0,0,0,0,0.1231708501582576,0.1689265471195144
2015-10-30,0.0107023250971765,-0.0032458186573712,0.0004986785321982,-0.002747140125173,7.54677886733594e-06,0,0,0,0,0.0149185227152441,-0.0020719517282317,-0.0036282382738571,-0.0057001900020892,3.2492166059917804e-05,0,0,0,0,0.116056462684873,0.1759042444176702
2015-11-02,0.010634862612243,0.0084777238003292,-0.0005002918473395,0.0079774319529901,6.363942056458849e-05,0,0,0,0,0.0118918504740097,0.0008481836496868,-0.0005605212618165,0.0002876623878704,8.274964939534639e-08,0,0,0,0,0.0855410224872989,0.1335199296312681
2015-11-03,0.0226907557040118,0.0208946927306657,-0.0012478755465145,0.0196468171841512,0.0003859974254674,0,0,0,0,0.0252927367815415,0.0228382844967561,-0.0031066158192906,0.0197316686774655,0.0003893387487972,0,0,0,0,0.1508836998766947,0.1796178781419481
2015-11-04,0.0154726213775846,-0.0062783034714979,-0.0023543749458722,-0.0086326784173702,7.45231366577302e-05,0,0,0,0,0.0141484200099182,0.0014754705738365,-0.0013842389888462,9.123158499058091e-05,8.323202099893591e-09,0,0,0,0,0.1665064759198439,0.1596663367091243
2015-11-05,0.0200904346228279,-0.0117172724356424,0.0013225164423548,-0.0103947559932877,0.0001080509521599,0,0,0,0,0.0125093610634666,-0.0025721123862558,0.0044133944384134,0.0018412820521573,3.3903195955969266e-06,0,0,0,0,0.1947626482099544,0.154859445773024
2015-11-06,0.0098173456890266,-0.0021466322642061,0.0063707657660089,0.0042241335018031,1.784330384105594e-05,0,0,0,0,0.0176216013498189,0.0128678246113929,-0.0057190451977258,0.0071487794136673,5.110504710527362e-05,0,0,0,0,0.1480647767939535,0.1767745474422788
2015-11-09,0.0130656404550381,-0.0049743097097277,-0.0005787276421289,-0.005553037351857,3.083622383111991e-05,0,0,0,0,0.0237927533242111,-0.0136357373475832,-0.0020111534340757,-0.0156468907816593,0.0002448251911331,0,0,0,0,0.1385109096376383,0.2329106233006989
2015-11-10,0.0342356474206528,-0.03333142732844,-0.001252446217473,-0.0345838735459129,0.0011960443094396,0,0,0,0,0.0160092771383087,-0.0118647431150733,0.002779066170266,-0.0090856769448071,8.254952554539943e-05,0,0,0,0,0.1998180784794258,0.1433039985199145
2015-11-11,0.0183161476564452,0.0080571193251448,-0.0001720874208336,0.0078850319043111,6.217372813200413e-05,0,0,0,0,0.0137471977348274,0.0064965425703984,0.005368200544675,0.0118647431150735,0.0001407721291866,0,0,0,0,0.1896276970976377,0.1642123433805854
2015-11-12,0.0095472277239169,0.0013785974956091,-0.0100382561116328,-0.0086596586160236,7.498968734607335e-05,0,0,0,0,0.0134122930145638,0.0050842856971603,-0.0106017918514741,-0.0055175061543137,3.044287416289054e-05,0,0,0,0,0.1915542074314545,0.2201680920417073
